Tag HTML,Atributos
html,[class,id,style,accesskey,tabindex,title,lang]
head,[class,id,style,accesskey,tabindex,title]
title,[class,id,style,accesskey,tabindex,title]
body,[class,id,style,accesskey,tabindex,title,bgcolor,text]
h1,[class,id,style,accesskey,tabindex,title]
h2,[class,id,style,accesskey,tabindex,title]
h3,[class,id,style,accesskey,tabindex,title]
h4,[class,id,style,accesskey,tabindex,title]
h5,[class,id,style,accesskey,tabindex,title]
h6,[class,id,style,accesskey,tabindex,title]
p,[class,id,style,accesskey,tabindex,title]
a,[class,id,style,accesskey,tabindex,title,href,target,rel]
img,[class,id,style,accesskey,tabindex,title,src,alt,width,height]
ul,[class,id,style,accesskey,tabindex,title]
li,[class,id,style,accesskey,tabindex,title]
table,[class,id,style,accesskey,tabindex,title,border,cellpadding,cellspacing]
tr,[class,id,style,accesskey,tabindex,title]
td,[class,id,style,accesskey,tabindex,title,colspan,rowspan]
form,[class,id,style,accesskey,tabindex,title,action,method,enctype]
input,[class,id,style,accesskey,tabindex,title,type,name,value,placeholder,readonly,required,checked]
textarea,[class,id,style,accesskey,tabindex,title,name,rows,cols,placeholder,readonly,required]
button,[class,id,style,accesskey,tabindex,title]
